Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
ROPN1L,174,914,7629,2161,3222,2140,3702,1055
ROR1,0,3,153,7,55,59,106,37
ROR2,2,11,17,15,33,7,3,4
RORA,3,2,30,16,26,5,40,5
RORB,0,0,1,0,0,0,0,0
RORC,30,215,2250,774,888,403,603,156
ROS1,2,9,22,9,7,9,8,7
RP1,0,0,0,0,0,0,0,0
RP1L1,0,0,0,0,0,0,0,0
RP2,0,0,0,0,0,0,0,0
RP9,0,0,0,0,0,0,0,0
RP9P,0,0,0,0,0,0,0,0
RPA1,0,0,0,0,0,0,0,0
RPA2,0,0,0,0,0,0,0,0
RPA3,0,0,0,0,0,0,0,0
RPA4,0,0,0,0,0,0,0,0
RPAIN,0,0,0,0,0,0,0,0
RPAP1,0,0,0,0,0,0,0,0
RPAP2,0,0,0,0,0,0,0,0
RPAP3,0,0,0,0,0,0,0,0
RPE,0,0,0,0,0,0,0,0
RPE65,0,0,0,0,0,0,0,0
RPF1,0,0,0,0,0,0,0,0
RPF2,0,0,0,0,0,0,0,0
RPGR,0,0,0,0,0,0,0,0
RPGRIP1,0,0,0,0,0,0,0,0
RPGRIP1L,0,0,0,0,0,0,0,0
RPH3A,0,0,0,0,0,0,0,0
RPH3AL,0,0,0,0,0,0,0,0
RPIA,0,0,0,0,0,0,0,0
RPL10,0,0,0,0,0,0,0,0
RPL10A,0,0,0,0,0,0,0,0
RPL10L,0,0,0,0,0,0,0,0
RPL11,0,0,0,0,0,0,0,0
RPL12,0,0,0,0,0,0,0,0
RPL13,0,0,0,0,0,0,0,0
RPL13A,0,0,0,0,0,0,0,0
RPL13AP20,0,0,0,0,0,0,0,0
RPL13AP3,0,0,0,0,0,0,0,0
RPL13AP6,0,0,0,0,0,0,0,0
RPL13P5,0,0,0,0,0,0,0,0
RPL14,0,0,0,0,0,0,0,0
RPL15,0,0,0,0,0,0,0,0
RPL17,0,0,0,0,0,0,0,0
RPL17-C18orf32,0,0,0,0,0,0,0,0
RPL18,0,0,0,0,0,0,0,0
RPL18A,0,0,0,0,0,0,0,0
RPL19,0,0,0,0,0,0,0,0
RPL19P12,0,0,0,0,0,0,0,0
RPL21,0,0,0,0,0,0,0,0
RPL21P44,0,0,0,0,0,0,0,0
RPL22,0,0,0,0,0,0,0,0
RPL22L1,0,0,0,0,0,0,0,0
RPL23,0,0,0,0,0,0,0,0
RPL23A,0,0,0,0,0,0,0,0
RPL23AP32,0,0,0,0,0,0,0,0
RPL23AP53,0,0,0,0,0,0,0,0
RPL23AP64,0,0,0,0,0,0,0,0
RPL23AP7,0,0,0,0,0,0,0,0
RPL23AP82,0,0,0,0,0,0,0,0
RPL23P8,0,0,0,0,0,0,0,0
RPL24,0,0,0,0,0,0,0,0
RPL26,0,0,0,0,0,0,0,0
RPL26L1,0,0,0,0,0,0,0,0
RPL27,0,0,0,0,0,0,0,0
RPL27A,0,0,0,0,0,0,0,0
RPL28,0,0,0,0,0,0,0,0
RPL29,0,0,0,0,0,0,0,0
RPL29P2,0,0,0,0,0,0,0,0
RPL2B,0,0,0,0,0,0,0,0
RPL3,0,0,0,0,0,0,0,0
RPL30,0,0,0,0,0,0,0,0
RPL31,0,0,0,0,0,0,0,0
RPL31P11,0,0,0,0,0,0,0,0
RPL32,0,0,0,0,0,0,0,0
RPL32P3,0,0,0,0,0,0,0,0
RPL34,0,0,0,0,0,0,0,0
RPL34-AS1,0,0,0,0,0,0,0,0
RPL35,0,0,0,0,0,0,0,0
RPL35A,0,0,0,0,0,0,0,0
RPL36,0,0,0,0,0,0,0,0
RPL36A,0,0,0,0,0,0,0,0
RPL36A-HNRNPH2,0,0,0,0,0,0,0,0
RPL36AL,0,0,0,0,0,0,0,0
RPL37,0,0,0,0,0,0,0,0
RPL37A,0,0,0,0,0,0,0,0
RPL38,0,0,0,0,0,0,0,0
RPL39,0,0,0,0,0,0,0,0
RPL39L,0,0,0,0,0,0,0,0
RPL3L,0,0,0,0,0,0,0,0
RPL4,0,0,0,0,0,0,0,0
RPL41,0,0,0,0,0,0,0,0
RPL5,0,0,0,0,0,0,0,0
RPL6,0,0,0,0,0,0,0,0
RPL7,0,0,0,0,0,0,0,0
RPL7A,0,0,0,0,0,0,0,0
RPL7L1,0,0,0,0,0,0,0,0
RPL8,0,0,0,0,0,0,0,0
RPL9,0,0,0,0,0,0,0,0
RPLP0,0,0,0,0,0,0,0,0
RPLP0P2,0,0,0,0,0,0,0,0
RPLP1,0,0,0,0,0,0,0,0
RPLP2,0,0,0,0,0,0,0,0
RPN1,0,0,0,0,0,0,0,0
RPN2,0,0,0,0,0,0,0,0
RPP14,0,0,0,0,0,0,0,0
RPP21,0,0,0,0,0,0,0,0
RPP25,0,0,0,0,0,0,0,0
RPP25L,0,0,0,0,0,0,0,0
RPP30,0,0,0,0,0,0,0,0
RPP38,0,0,0,0,0,0,0,0
RPP40,0,0,0,0,0,0,0,0
RPPH1,0,0,0,0,0,0,0,0
RPRD1A,0,0,0,0,0,0,0,0
RPRD1B,0,0,0,0,0,0,0,0
RPRD2,0,0,0,0,0,0,0,0
RPRM,0,0,0,0,0,0,0,0
RPRML,0,0,0,0,0,0,0,0
RPS10,0,0,0,0,0,0,0,0
RPS10-NUDT3,0,0,0,0,0,0,0,0
RPS10P7,0,0,0,0,0,0,0,0
RPS11,0,0,0,0,0,0,0,0
RPS12,0,0,0,0,0,0,0,0
RPS13,0,0,0,0,0,0,0,0
RPS14,0,0,0,0,0,0,0,0
RPS14P3,0,0,0,0,0,0,0,0
RPS15,0,0,0,0,0,0,0,0
RPS15A,0,0,0,0,0,0,0,0
RPS15AP10,0,0,0,0,0,0,0,0
RPS16,0,0,0,0,0,0,0,0
RPS16P5,0,0,0,0,0,0,0,0
RPS17L,0,0,0,0,0,0,0,0
RPS18,0,0,0,0,0,0,0,0
RPS18P9,0,0,0,0,0,0,0,0
RPS19,0,0,0,0,0,0,0,0
RPS19BP1,0,0,0,0,0,0,0,0
RPS2,0,0,0,0,0,0,0,0
RPS20,0,0,0,0,0,0,0,0
RPS21,0,0,0,0,0,0,0,0
RPS23,0,0,0,0,0,0,0,0
RPS24,0,0,0,0,0,0,0,0
RPS25,0,0,0,0,0,0,0,0
RPS26,0,0,0,0,0,0,0,0
RPS26P11,0,0,0,0,0,0,0,0
RPS27,0,0,0,0,0,0,0,0
RPS27A,0,0,0,0,0,0,0,0
RPS27L,0,0,0,0,0,0,0,0
RPS28,0,0,0,0,0,0,0,0
RPS29,0,0,0,0,0,0,0,0
RPS2P32,0,0,0,0,0,0,0,0
RPS3,0,0,0,0,0,0,0,0
RPS3A,0,0,0,0,0,0,0,0
RPS4X,0,0,0,0,0,0,0,0
RPS4Y1,0,0,0,0,0,0,0,0
RPS4Y2,0,0,0,0,0,0,0,0
RPS5,0,0,0,0,0,0,0,0
RPS6,0,0,0,0,0,0,0,0
RPS6KA1,0,0,0,0,0,0,0,0
RPS6KA2,0,0,0,0,0,0,0,0
RPS6KA3,0,0,0,0,0,0,0,0
RPS6KA4,0,0,0,0,0,0,0,0
RPS6KA5,0,0,0,0,0,0,0,0
RPS6KA6,0,0,0,0,0,0,0,0
RPS6KB1,0,0,0,0,0,0,0,0
RPS6KB2,0,0,0,0,0,0,0,0
RPS6KC1,0,0,0,0,0,0,0,0
RPS6KL1,0,0,0,0,0,0,0,0
RPS7,0,0,0,0,0,0,0,0
